metabolite,molecular_formula,knapsack_cid,function,target,bunken
lasiodine A,C39H49N5O7,C00002003,inhibit photophosphorylation,Plantae,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter24"
lasiodine A,C39H49N5O7,C00002003,weak antibiotic activity,gram positive bacteria,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter24"
lasiodine A,C39H49N5O7,C00002003,weak antibiotic activity,lower fungi,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter24"
anthemis glycoside A,C39H49NO21,C00001438,toxic,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter12"
alpha-amanitin,C39H54N10O14S,C00001516,"affect the kidney and liver and have a delayed onset of action, at least 12 h after ingestion","","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter15"
alpha-amanitin,C39H54N10O14S,C00001516,"symptoms include nausea, vomiting, convulsions, colic, severe diarrhoea, then apparent recovery for up to 5 days, followed by hepatitis, renal failure, coma and vascular collapse","","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter15"
alpha-amanitin,C39H54N10O14S,C00001516,used as a tool in biochemical research,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter15"
alpha-amanitin,C39H54N10O14S,C00001516,"very poisonous, 10-15 times more toxic than phalloidin","","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter15"
uvaricin,C39H68O7,C00001330,"useful antitumour agent, with activity aginst lymphocytic leukaemia in vivo at a concentration of 1.4 mg/kg",Muridae,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter9"
Triumferol;4-hydroxyisoxazol,C3H3NO2,C00000331,inhibit growth,Triumfetta rhomboidea,"Kusumi,Tetrahedron Lett.,22,(1981),3451-3454"
malonic acid,C3H4O4,C00001193,"a strong irritant, causing damage to mucous membranes and skin","","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter5"
malonic acid,C3H4O4,C00001193,"strong acid, but less toxic than oxalic acid","","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter5"
malonic acid,C3H4O4,C00001193,used in the manufacture of barbiturates,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter5"
L-lactic acid,C3H6O3,C00001191,a synergistic effect on antioxidants present,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter5"
L-lactic acid,C3H6O3,C00001191,approved acidulant,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter5"
L-lactic acid,C3H6O3,C00001191,preservative for foods,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter5"
L-lactic acid,C3H6O3,C00001191,used as a solvent,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter5"
L-lactic acid,C3H6O3,C00001191,used in the casting of phenolaldehyde resins,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter5"
L-lactic acid,C3H6O3,C00001191,"used widely in brewing, and in the food industry","","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter5"
propanethial S-oxide,C3H6OS,C00001266,lachrymator,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter7"
L-alanine,C3H7NO2,C00001332,dietary supplement,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter10"
L-alanine,C3H7NO2,C00001332,reverse hypoglycaemia and ketosis caused by starvation,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter10"
L-alanine,C3H7NO2,C00001332,stimulate glucagon secretion in patients with pancreatitis,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter10"
beta-alanine,C3H7NO2,C00001333,constituent of homoglutathione,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter10"
beta-alanine,C3H7NO2,C00001333,neurotoxic,Aves,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter10"
L-cysteine,C3H7NO2S,C00001351,dietary amino acid,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter10"
L-cysteine,C3H7NO2S,C00001351,used in eye drops for healing alkali burns,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter10"
L-cysteine,C3H7NO2S,C00001351,used in some skin antibiotic preparations,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter10"
L-serine,C3H7NO3,C00001393,dietary amino acid,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter10"
glycerol,C3H8O3,C00001163,ingredient of antifreeze mixtures,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter4"
glycerol,C3H8O3,C00001163,ingredient of copying inks,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter4"
glycerol,C3H8O3,C00001163,ingredient of liqueurs,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter4"
glycerol,C3H8O3,C00001163,ingredient of lubricants,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter4"
glycerol,C3H8O3,C00001163,ingredient of pharmaceutical preparations,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter4"
glycerol,C3H8O3,C00001163,ingredient of plasticisers,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter4"
glycerol,C3H8O3,C00001163,ingredient of shock absorbing fluids,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter4"
glycerol,C3H8O3,C00001163,used as a humectant,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter4"
glycerol,C3H8O3,C00001163,used as a solvent for oils,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter4"
glycerol,C3H8O3,C00001163,used as a sweetener,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter4"
propane-1-thiol,C3H8S,C00001267,flavour compound,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter7"
propane-2-thiol,C3H8S,C00001268,flavour compound,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter7"
trimethylamine,C3H9N,C00001433,strong fishy odour,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter11"
kuwanone G,C40H36O11,C00001063,hypotensive activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter37"
kuwanone G,C40H36O11,C00001063,lowers blood pressure when administered intravenously at a dose of 1.0 mg/kg body-weight,Oryctolagus cuniculus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter37"
sanggenon C,C40H36O12,C00001000,antimicrobial activity,Bacillus subtilis,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter36"
sanggenon C,C40H36O12,C00001000,antimicrobial activity,Pyricularia oryzae,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter36"
sanggenon C,C40H36O12,C00001000,antimicrobial activity,Staphylococcus aureus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter36"
sanggenon C,C40H36O12,C00001000,antimicrobial activity,Trichophyton mentagrophytes,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter36"
sanggenon C,C40H36O12,C00001000,inhibit activation of protein kinase C in a dose-dependent manner,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter36"
sanggenon C,C40H36O12,C00001000,inhibit specific binding of the tumour-promoting agent 12-O-tetradecanoylphorbol 13-acetate to skin,Mus musculus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter36"
sanggenon C,C40H36O12,C00001000,marked hypotensive activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter36"
sanggenon D,C40H36O12,C00001001,"antimicrobial activity, but weaker than that of sanggenon C",Bacillus subtilis,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter36"
sanggenon D,C40H36O12,C00001001,"antimicrobial activity, but weaker than that of sanggenon C",Pyricularia oryzae,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter36"
sanggenon D,C40H36O12,C00001001,"antimicrobial activity, but weaker than that of sanggenon C",Staphylococcus aureus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter36"
sanggenon D,C40H36O12,C00001001,"antimicrobial activity, but weaker than that of sanggenon C",Trichophyton mentagrophytes,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter36"
sanggenon D,C40H36O12,C00001001,hypotensive activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter36"
sanggenon D,C40H36O12,C00001001,inhibit activation of protein kinase C,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter36"
sanggenon D,C40H36O12,C00001001,inhibit tumour-promoting activity of teleocidin on skin,Mus musculus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter36"
celosianin II,C40H42N2O22,C00001586,purple pigment,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter18"
C-curarine,C40H44N4O,C00001711,extremely toxic,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter20"
C-curarine,C40H44N4O,C00001711,neuromuscular blocking agent,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter20"
fetidine,C40H46N2O8,C00001858,anti-inflammatory,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter21"
fetidine,C40H46N2O8,C00001858,depress nervous activity,Mus musculus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter21"
fetidine,C40H46N2O8,C00001858,hypotensive,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter21"
toxiferine I,C40H46N4O2,C00001776,"neuromuscular blocking agent, six to eight times more potent than the isoquinoline alkaloid tubocurarine","","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter20"
calebassine,C40H48N4O2,C00001697,highly toxic,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter20"
calebassine,C40H48N4O2,C00001697,neuromuscular blocking agent,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter20"
tabernamine,C40H48N4O2,C00001771,antitumour activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter20"
tabernamine,C40H48N4O2,C00001771,cytotoxic to P-388 lymphocytic leukaemia cells in vitro,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter20"
juliflorine,C40H75N3O2,C00002049,antibacterial activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter25"
juliflorine,C40H75N3O2,C00002049,antifungal activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter25"
Alnusiin,C41H26O26,C00002908,antitumour activity against Sarcoma 180,Mus musculus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45"
Alnusiin,C41H26O26,C00002908,inhibit induced lipid peroxidation in microsomes of liver cells,Rattus norvegicus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45"
Alnusiin,C41H26O26,C00002908,inhibit induced lipid peroxidation in mitochondria in fat cells,Rattus norvegicus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45"
Casuarictin,C41H28O26,C00002909,"in vitro antihepatotoxic activity, due to enzyme inhibitory action on glutamine-pyruvic transaminase","","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45"
Casuarinin,C41H28O26,C00002910,antioxidant efficiency in the erythrocyte membrane ghost system,Oryctolagus cuniculus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45"
Casuarinin,C41H28O26,C00002910,inhibit induced lipid peroxidation of liver microsomes,Rattus norvegicus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45"
Geraniin,C41H28O27,C00002926,enhance adrenocorticotrophic hormone-induced lipolysis in fat cells,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45"
Geraniin,C41H28O27,C00002926,inhibit adrenaline-induced lipolysis of fat cells,Rattus norvegicus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45"
Geraniin,C41H28O27,C00002926,inhibit induced lipid peroxidation in liver microsomes,Rattus norvegicus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45"
Eugeniin,C41H30O26,C00002920,antiviral activity,herpes simplex,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45"
Eugeniin,C41H30O26,C00002920,inhibit adrenaline-induced lipolysis in fat cells,Rattus norvegicus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45"
Chebulagic acid,C41H30O27,C00002911,enhance adrenocorticotrophic hormone-induced lipolysis in fat cells,Rattus norvegicus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45"
Chebulagic acid,C41H30O27,C00002911,inhibit lipid peroxidation in mitochondria of liver cells,Rattus norvegicus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45"
Isoterchebin,C41H30O27,C00002928,inhibit induced lipolysis in liver mitochondria,Rattus norvegicus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45"
Pentagalloyl-beta-D-glucose,C41H32O26,C00002933,antiviral activity,human immunodeficiency virus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45"
Pentagalloyl-beta-D-glucose,C41H32O26,C00002933,inhibit induced peroxidation in liver mitochondria and microsomes,Rattus norvegicus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45"
Chebulinic acid,C41H32O27,C00002912,enhance adrenocorticotrophic hormone-induced lipolysis of liver cells,Rattus norvegicus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45"
Chebulinic acid,C41H32O27,C00002912,inhibit adrenaline-induced lipolysis in fat cells,Rattus norvegicus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45"
Chebulinic acid,C41H32O27,C00002912,inhibit induced lipid peroxidation in microsomes of liver cells,Rattus norvegicus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter45"
thalicarpine,C41H48N2O8,C00001920,antimicrobial,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter21"
thalicarpine,C41H48N2O8,C00001920,antitumour,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter21"
thalicarpine,C41H48N2O8,C00001920,hypotensive,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter21"
thalicarpine,C41H48N2O8,C00001920,"toxic, LD50 intravenously 58.6 mg/kg body-weight",Mus musculus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter21"
hyoscyamine,C17H23NO3,C00002293,toxic,Homo sapiens,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter30"
hyoscyamine,C17H23NO3,C00002293,used to treat symptoms of Parkinson's disease,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter30"
hyoscyamine,C17H23NO3,C00002293,useful as a premedication before anaesthesia,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter30"
littorine,C17H23NO3,C00002295,the racemate is a mydriatic,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter30"
lunacridine,C17H23NO4,C00002180,hypotensive agent,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter27"
anisodamine,C17H23NO4,C00002274,prevent endotoxin-induced shock,Canis familiaris,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter30"
anisodamine,C17H23NO4,C00002274,prevent haemorrhagic shock,Felis catus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter30"
anisodamine,C17H23NO4,C00002274,reduce acute myocardial infarction,Oryctolagus cuniculus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter30"
anisodamine,C17H23NO4,C00002274,"used as a biochemical tool in studying the mode of action of anaesthetics, because of its effects on liposome formation","","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter30"
porritoxin,C17H23NO4,C00002359,inhibit seedling growth at 10 ppm,Lactuca sativa,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter31"
porritoxin,C17H23NO4,C00002359,"phytotoxin, a fungus causing black spot disease",Allium cepa,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter31"
porritoxin,C17H23NO4,C00002359,"phytotoxin, a fungus causing black spot disease",Allium tuberosum,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter31"
Geniposide,C17H24O10,C00000320,inhibit growth,Gardenia jasminoides,"Shimomura,Plant Cell Physiol.,24,(1983),123-126"
Geniposide,C17H24O10,C00000320,laxative,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter49"
Secologanin,C17H24O10,C00003098,could be used in the pharmaceutical industry for the production of therapeutically active substances,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter49"
Verbenalin,C17H24O10,C00003102,"activity on the uterus, resembling that of ergot","","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter49"
Verbenalin,C17H24O10,C00003102,laxative property,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter49"
Verbenalin,C17H24O10,C00003102,weak parasympathomimetic,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter49"
Gardenoside,C17H24O11,C00003081,mild laxative,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter49"
falcarindiol,C17H24O2,C00001283,analgesic activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter8"
falcarindiol,C17H24O2,C00001283,antifungal activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter8"
falcarindiol,C17H24O2,C00001283,phytoalexin,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter8"
falcarindiol,C17H24O2,C00001283,toxic,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter8"
[6]-shogaol,C17H24O3,C00002774,molluscicidal activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
[6]-shogaol,C17H24O3,C00002774,pungent odour,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
Buddledin A,C17H24O3,C00003105,exhibit piscicidal activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter50"
[6]-gingerdione,C17H24O4,C00002746,inhibit prostaglandin biosynthesis in vitro,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
falcarinol,C17H24O,C00001284,can cause allergic reactions,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter8"
falcarinol,C17H24O,C00001284,poisonous,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter8"
mesembrinol,C17H25NO3,C00001750,"narcotic, cocaine-like stimulant","","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter20"
Loganin,C17H26O10,C00003088,laxative,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter49"
Loganin,C17H26O10,C00003088,used as a bitter tonic,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter49"
Ipolamiide,C17H26O11,C00003084,insect antifeedant,Spodoptera littoralis,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter49"
[6]-paradol,C17H26O3,C00002764,"flavour principle of Zingiber officinale, hot and pungent","","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
[6]-gingerol,C17H26O4,C00002748,anti-emetic activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
[6]-gingerol,C17H26O4,C00002748,antiseratogenic activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
[6]-gingerol,C17H26O4,C00002748,inhibit cyclo-oxygenase,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
[6]-gingerol,C17H26O4,C00002748,the most important pungent principle of Zingiber officinale,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
embelin,C17H26O4,C00002822,"potent oral contraceptive, possessing 85% anti-implantation activity",Rattus norvegicus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter43"
Botrydial,C17H26O5,C00003104,antibacterial activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter50"
Botrydial,C17H26O5,C00003104,antifungal activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter50"
Deoxyloganin,C17H26O9,C00003077,laxative,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter49"
uplandicine,C17H27NO7,C00002126,"toxicity not established, but suspected to be hepatotoxic","","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter26"
neolinustatin,C17H29NO11,C00001450,toxic,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter12"
liriodenine,C17H9NO3,C00001878,antifungal,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter21"
liriodenine,C17H9NO3,C00001878,cytotoxic to naspharyngeal carcinoma cells in vitro,Homo sapiens,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter21"
"baicalein 5,6,7-trimethyl ether",C18H116O5,C00003808,antifungal activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter37"
dothistromin,C18H12O9,C00002817,phytotoxin responsible for the symptoms of blight,Pinus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter43"
rutaecarpine,C18H13N3O,C00001766,hypotensive,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter20"
Dehydrocycloguanandin,C18H14O4,C00002945,anti-inflammatory activity,Mammalia,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter46"
Jacareubin,C18H14O6,C00002959,anti-inflammatory activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter46"
Jacareubin,C18H14O6,C00002959,antimicrobial activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter46"
Jacareubin,C18H14O6,C00002959,anti-ulcerogenic activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter46"
chlorflavonin,C18H15ClO7,C00001026,antifungal agent,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter37"
muscapurpurin,C18H15N2O10,C00001602,purple pigment,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter18"
lunamarine,C18H15NO4,C00002182,"hypotensive activity, causing a transient fall in blood preesure",Felis catus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter27"
lunamarine,C18H15NO4,C00002182,"weak smooth muscle stimulant, stimulating isolated intestine and uterus",Oryctolagus cuniculus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter27"
musca-aurin-II,C18H16N2O10,C00001600,yellow pigment,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter18"
betanidin,C18H16N2O8,C00001583,purple pigment,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter18"
2-(4-methoxyphenethyl)chromone,C18H16O3,C00002435,contribute to the odour of Aquillaria when it is burned as incense,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter34"
dasytrichone,C18H16O4,C00001035,cancer chemopreventive potential,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter37"
dasytrichone,C18H16O4,C00001035,inhibit the metabolism of the carcinogen benzopyrene in embryo cell cultures,Mesocrietus auratus,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter37"
Calophyllin B,C18H16O4,C00002944,anti-inflammatory activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter46"
"galangin 3,5,7-trimethyl ether",C18H16O5,C00001042,antifungal activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter37"
Galangin trimethyl ether,C18H16O5,C00001042,Phytoalexins and inducers of nitrogen fixing bacteria,Cladosporium cucumerinum,"Tomas-Barberan,Phytochem.,27,(1988),753"
6-Deoxyjacareubin,C18H16O5,C00002947,anti-inflammatory activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter46"
6-Deoxyjacareubin,C18H16O5,C00002947,antimicrobial activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter46"
6-Deoxyjacareubin,C18H16O5,C00002947,anti-ulcerogenic activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter46"
betagarin,C18H16O6,C00000942,antifungal activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter36"
Betagarin,C18H16O6,C00000942,Phytoalexins and inducers of nitrogen fixing bacteria,Cercospora beticola,"Johnson,Physiol.Plant Pathol.,8,(1976),225; Martin,Physiol.Plant Pathol.,11,(1977),297; Geigert,Tetrahedron,29,(1973),2703"
Betagarin,C18H16O6,C00000942,Phytoalexins and inducers of nitrogen fixing bacteria,Rhizoctonia solani,"Tabashnik,J.Chem.Ecol.,13,(1987),309"
cirsilineol,C18H16O7,C00001032,spasmolytic activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter37"
nevadensin,C18H16O7,C00001075,"antituberculostatic activity, inhibiting at a concentration of 0.2 mg/ml in vitro",Bacillus tuberculosis,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter37"
santin,C18H16O7,C00001096,anti-inflammatory activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter37"
santin,C18H16O7,C00001096,inhibit both cyclo-oxygenase and 5-lipoxygenase pathways of arachidonic metabolism,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter37"
santin,C18H16O7,C00001096,"may contribute, with parthenolide, to the medicinal use of feverfew as a plant drug","","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter37"
